name,protocol_inferred,role,enabled,eligible,best_available_pool,pool_rank,users,load_status,score,health_severity,health_category,hard_block,health_reason,telegram_ok,telegram_status,telegram_reason,service_score,service_confidence,required_missing,required_low,hist_1h_avg_mbps,hist_1h_min_mbps,hist_1h_stability,min_avg_mbps,min_floor_mbps,min_stability,evidence_backed_exception,canary_reserved,blocked,reasons,ctr_state,ctr_recovery_state,ctr_confidence,eligible_user_count,candidate_attraction_count,root_cause_classification,root_cause,recovery_path
vless,vless,GLOBAL_FAST,True,True,True,1,23,OK,2027.12,SUSPECT,protocol_diagnostic_limited_suspect,False,handshake_unsupported_for_protocol_vless,True,OK,telegram tcp endpoints reachable,100.0,0.84,,,41.596,27.47,0.4814,15.0,10.0,0.45,True,False,,severity_protocol_diagnostic_limited_suspect;quality_floor_overridden_by_service_evidence;quality_history_fail_rate_high_advisory;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok;best_available_pool_rank_1,TRUSTED,NOT_NEEDED,0.4583,26,3,HEALTHY,NONE,maintain; no recovery needed
1,unknown,GLOBAL_FAST,True,False,False,0,0,OK,0.0,FAIL,fatal,True,curl_failed_and_handshake_stale,False,TELEGRAM_DOWN_14S,api.telegram.org:443=timeout; 149.154.167.50:443=timeout; 149.154.175.50:443=timeout; 91.108.56.177:443=timeout; 194.221.250.50:443=timeout,2.834,0.72,,,8.398,8.398,0.0002,15.0,10.0,0.45,False,False,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,QUARANTINED,NOT_NEEDED,0.3181,0,0,REAL_FAILURE,hard health/service failure,"repair interface/connectivity/telegram/service reachability, then rerun service matrix and planner"
amneziawg-exec-20260528-10-8-1-14,amneziawg,EXECUTION_ONLY,True,False,False,0,0,OK,0.0,OK,normal,False,OK,True,OK,telegram tcp endpoints reachable,100.0,0.84,,,40.49,13.732,0.1567,15.0,10.0,0.45,False,True,manual_only;reserve_only;canary_reserved_production_assignment_blocked;stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,TRUSTED,NOT_NEEDED,0.4583,0,0,MANUAL_BLOCKED,execution_or_reserve_role_plus_quality_floor,explicit role/purpose review; do not use as production pool until role and stability are certified
awg0,amneziawg,GLOBAL_STABLE,True,False,False,0,2,OK,0.0,OK,normal,False,OK,True,OK,telegram tcp endpoints reachable,100.0,0.84,,,35.875,14.199,0.2162,15.0,10.0,0.45,False,False,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,TRUSTED,NOT_NEEDED,0.4583,0,0,TEMPORARY_FAILURE,stability_below_floor_with_services_ok,observe/retest after quality window improves; run health/service audit; no threshold lowering without proof
awg3,amneziawg,GLOBAL_STABLE,True,False,False,0,1,OK,0.0,OK,normal,False,OK,True,OK,telegram tcp endpoints reachable,99.767,0.84,,,37.137,13.068,0.1836,15.0,10.0,0.45,False,False,stability_below_floor,min_mbps_below_floor_contextual_warning;service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,TRUSTED,NOT_NEEDED,0.4583,0,0,TEMPORARY_FAILURE,stability_below_floor_with_services_ok,observe/retest after quality window improves; run health/service audit; no threshold lowering without proof
openvpn-1779388847-d2ad7c,openvpn,GLOBAL_FAST,True,False,False,0,0,OK,0.0,FAIL,fatal,True,interface_down_or_missing,False,TELEGRAM_DOWN_14S,api.telegram.org:443=timeout; 149.154.167.50:443=timeout; 149.154.175.50:443=timeout; 91.108.56.177:443=timeout; 194.221.250.50:443=timeout,2.838,0.72,,,0.002,0.002,0.0002,15.0,10.0,0.45,False,False,health_code_000;severity_FAIL;avg_mbps_below_floor;min_mbps_below_floor;telegram_required_telegram_down_14s,quality_history_fail_rate_high_advisory;service_signal_TRANSIENT_REVALIDATION_REQUIRED;service_multiple_transient_failed_degraded;service_youtube_transient_fail;service_youtube_degraded;service_youtube_failed_samples_1;service_instagram_transient_fail;service_instagram_degraded;service_instagram_failed_samples_1;service_google_transient_fail;service_google_degraded;service_google_failed_samples_1;service_google_auth_transient_fail;service_google_auth_degraded;service_google_auth_failed_samples_1;service_signal_DEGRADED_SERVICE;route_class_VIDEO_OPTIMIZED_failed_nonpersistent_service_truth;service_signal_ROUTE_FAIL_REVALIDATION_REQUIRED,QUARANTINED,NOT_NEEDED,0.3181,0,0,REAL_FAILURE,hard health/service failure,"repair interface/connectivity/telegram/service reachability, then rerun service matrix and planner"
wireguard-1779454504-c43409,wireguard,GLOBAL_FAST,True,False,False,0,0,OK,0.0,OK,normal,False,OK,True,OK,telegram tcp endpoints reachable,100.0,0.84,,,59.982,56.562,0.8216,15.0,10.0,0.45,False,True,canary_reserved_production_assignment_blocked,service_youtube_ok;service_instagram_ok;service_telegram_ok;service_google_ok;service_google_auth_ok;route_class_VIDEO_OPTIMIZED_ok,TRUSTED,NOT_NEEDED,0.4583,0,0,CANARY_BLOCKED,healthy_but_reserved_for_canary,operator review to unreserve/certify production assignment; no health fix required
